,hkl_string,hkl_tuple,slab_thickness,vac_thickness,slab_index,atoms,area,bandgap,slab_energy,slab_per_atom,time_taken,surface_energy,surface_energy_ev,vacuum_potential,vacuum_gradient,surface_energy_fm,surface_energy_boettger,surface_energy_ouc,surface_energy_prim
10,10,"(0, 1, 0)",40,20,0,96,26.109033226959006,2.1321,-746.57054715,-7.776776532812501,1325.026,0.6003468032020045,0.0374748316605495,8.017,-13.904195398747328,0.6249308735477241,0.624309978221156,0.608140518068091,0.624501685388467
11,10,"(0, 1, 0)",50,20,0,120,26.109033226959006,2.1321,-933.72192707,-7.781016058916666,2102.562,0.5943560094472167,0.0371008744973293,8.594,-25.676865880598363,0.6250860973793749,0.6275318753620306,0.6040981530298247,0.624549612180286
12,10,"(0, 1, 0)",60,20,0,144,26.109033226959006,2.1293,-1120.87540738,-7.783856995694445,2450.94,0.5877208362642539,0.0366866938991419,9.189,-21.562867439498785,0.6245969417828158,0.6310657138841974,0.5994114085633836,0.623953159543965
13,10,"(0, 1, 0)",70,20,0,168,26.109033226959006,2.132,-1308.03080748,-7.785897663571428,4547.272,0.5804966899942632,0.0362357484390925,9.365,-18.88490601554195,0.6235188130992987,,0.5941356910099496,0.6227677338205811
14,10,"(0, 1, 0)",10,30,0,24,26.109033226959006,2.0755000000000003,-185.11949463,-7.71331227625,134.06,0.6173720489602943,0.0385375810836638,3.028,-0.2004808007991027,0.6237197074108916,,0.6193204776768159,0.6234107695069099
15,10,"(0, 1, 0)",20,30,0,48,26.109033226959006,2.1285,-372.27001096,-7.755625228333333,426.152,0.6116461963023136,0.0381801620663117,4.803,-0.0016303806538539,0.6243415132035082,0.6218781951388214,0.615543053735357,0.6237236373955449
16,10,"(0, 1, 0)",30,30,0,72,26.109033226959006,2.1318,-559.41853944,-7.769701936666667,944.82,0.6065301968840598,0.0378608112911398,6.008,0.0011377676644748,0.625573172235843,0.6232062538415826,0.6123754830336247,0.6246463585239154
17,10,"(0, 1, 0)",40,30,0,96,26.109033226959006,2.1276,-746.56851088,-7.776755321666666,1150.802,0.6009715112315522,0.037513827168012,7.042,-0.6069821149785554,0.6263621450339413,0.626883860467861,0.6087652260976386,0.6251263934180147
18,10,"(0, 1, 0)",50,30,0,120,26.109033226959006,2.1325000000000003,-933.72147916,-7.781012326333333,2413.666,0.594493423922475,0.0371094521799297,7.563,-0.25530708120691,0.62623171617547,0.629762229090268,0.6042355675050831,0.6246870266555443
19,10,"(0, 1, 0)",60,30,0,144,26.109033226959006,2.1326,-1120.87632388,-7.783863360277778,3220.328,0.5874396628889164,0.0366691425024292,8.1,-8.185983737437137,0.6255256135924825,0.6323024901800101,0.5991302351880461,0.6236719861686274
20,10,"(0, 1, 0)",70,30,0,168,26.109033226959006,2.1321,-1308.03254862,-7.7859080275,5174.478,0.5799625250070675,0.036202404806933,8.472,-19.089171826224625,0.6243961341612396,,0.5936015260227536,0.6222335688333853
21,10,"(0, 1, 0)",10,40,0,24,26.109033226959006,2.0736,-185.11929839,-7.713304099583333,200.246,0.6174322535027672,0.0385413391699605,2.396,0.0007412872583242,0.6239804531932147,,0.6193806822192888,0.6234709740493828
22,10,"(0, 1, 0)",20,40,0,48,26.109033226959006,2.1285,-372.26887949,-7.755601656041667,534.265,0.611993320403804,0.0382018302374409,4.002,0.0001361447826771,0.6250897197846992,0.6224871893654808,0.6158901778368474,0.6240707614970353
23,10,"(0, 1, 0)",30,40,0,72,26.109033226959006,2.1318,-559.41783476,-7.769692149444444,1196.542,0.6067463859229658,0.0378743062373886,5.15,-0.0011061609051547,0.6263909849943083,0.6243988093732378,0.6125916720725306,0.6248625475628212
24,10,"(0, 1, 0)",40,40,0,96,26.109033226959006,2.1245,-746.56886704,-7.776759031666667,1331.967,0.6008622447728751,0.0375070065401295,6.127,0.0506209535859644,0.6270550435346652,0.6279661064535512,0.6086559596389617,0.6250171269593375
25,10,"(0, 1, 0)",50,40,0,120,26.109033226959006,2.1297,-933.72280627,-7.781023385583333,2095.765,0.5940862793527061,0.0370840374127781,6.814,-0.0321019918556597,0.6268272778049437,0.6312377343133156,0.6038284229353142,0.6242798820857755
26,10,"(0, 1, 0)",60,40,0,144,26.109033226959006,2.1312,-1120.87887831,-7.783881099374999,3081.298,0.5866559883605842,0.0366202239925458,7.31,-0.1817689545497925,0.6259451865032694,0.6291997933706984,0.598346560659714,0.6228883116402953
27,10,"(0, 1, 0)",70,40,0,168,26.109033226959006,2.1255,-1308.03384322,-7.785915733452382,3405.351,0.5795653541922318,0.0361776126212379,7.813,-0.3958670338727575,0.6254027520253296,,0.5932043552079181,0.6218363980185498
